county,team,pop
22089,ECU,0
22089,EGY,48
22089,ENG,16
22089,ESP,0
22089,FRA,0
22089,GER,19
22089,GHA,0
22089,HAI,0
22089,IRN,4
22089,IRQ,0
22089,JOR,0
22089,JPN,7
22089,KOR,0
22089,KSA,0
22089,MAR,0
22089,MEX,390
22089,NED,0
22089,NOR,0
22089,NZL,0
22089,PAN,23
22089,PAR,0
22089,POR,0
22089,QAT,0
22089,RSA,11
22089,SCO,0
22089,SEN,0
22089,SUI,0
22089,SWE,0
22089,TUN,0
22089,TUR,0
22089,URU,0
22089,UZB,0
37059,ALG,0
37059,ARG,0
37059,AUS,10
37059,AUT,0
37059,BEL,0
37059,BIH,0
37059,BRA,0
37059,CAN,40
37059,CIV,0
37059,COD,8
37059,COL,70
37059,CPV,0
37059,CRO,0
37059,CUW,0
37059,CZE,11
37059,ECU,0
37059,EGY,0
37059,ENG,104
37059,ESP,26
37059,FRA,7
37059,GER,100
37059,GHA,0
37059,HAI,0
37059,IRN,0
37059,IRQ,0
37059,JOR,0
37059,JPN,0
37059,KOR,0
37059,KSA,0
37059,MAR,0
37059,MEX,961
37059,NED,0
37059,NOR,0
37059,NZL,0
37059,PAN,0
37059,PAR,0
37059,POR,0
37059,QAT,0
37059,RSA,31
37059,SCO,0
37059,SEN,0
37059,SUI,0
37059,SWE,176
37059,TUN,0
37059,TUR,0
37059,URU,0
37059,UZB,0
08071,ALG,0
08071,ARG,1
08071,AUS,0
08071,AUT,2
08071,BEL,0
08071,BIH,0
08071,BRA,33
08071,CAN,31
08071,CIV,0
08071,COD,0
08071,COL,0
08071,CPV,0
08071,CRO,0
08071,CUW,0
08071,CZE,0
08071,ECU,0
08071,EGY,12
08071,ENG,19
08071,ESP,0
08071,FRA,0
08071,GER,29
08071,GHA,0
08071,HAI,0
08071,IRN,0
08071,IRQ,0
08071,JOR,0
08071,JPN,0
08071,KOR,6
08071,KSA,0
08071,MAR,0
08071,MEX,165
08071,NED,0
08071,NOR,0
08071,NZL,0
08071,PAN,0
08071,PAR,0
08071,POR,0
08071,QAT,0
08071,RSA,0
08071,SCO,0
08071,SEN,0
08071,SUI,0
08071,SWE,0
08071,TUN,0
08071,TUR,0
08071,URU,0
08071,UZB,0
13271,ALG,0
13271,ARG,0
13271,AUS,0
13271,AUT,0
13271,BEL,0
13271,BIH,0
13271,BRA,0
13271,CAN,21
13271,CIV,0
13271,COD,0
13271,COL,0
13271,CPV,0
13271,CRO,0
13271,CUW,0
13271,CZE,0
13271,ECU,0
13271,EGY,0
13271,ENG,0
