fips,QAT,ECU,SEN,NED,ENG,IRN,WAL,ARG,KSA,MEX,POL,FRA,AUS,DEN,TUN,ESP,CRC,GER,JPN,BEL,CAN,MAR,CRO,BRA,SRB,SUI,CMR,POR,GHA,URU,KOR
42103,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48201,76.0,40.0,0.0,0.0,106.0,151.0,53.0,35.0,14.0,5796.0,0.0,220.0,0.0,0.0,0.0,0.0,17.0,61.0,36.0,0.0,125.0,19.0,6.0,7.0,0.0,42.0,12.0,41.0,6.0,0.0,85.0
04013,0.0,0.0,0.0,54.0,32.0,18.0,0.0,95.0,0.0,6650.0,9.0,33.0,0.0,11.0,0.0,0.0,33.0,106.0,6.0,0.0,167.0,0.0,0.0,28.0,83.0,0.0,0.0,10.0,63.0,0.0,38.0
26135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40099,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06073,29.0,0.0,0.0,16.0,59.0,218.0,56.0,0.0,0.0,4174.0,0.0,154.0,0.0,11.0,23.0,0.0,0.0,36.0,281.0,11.0,61.0,11.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0
17031,0.0,98.0,0.0,6.0,13.0,66.0,99.0,21.0,0.0,3444.0,495.0,0.0,0.0,0.0,0.0,8.0,0.0,150.0,22.0,0.0,71.0,8.0,6.0,15.0,12.0,0.0,23.0,0.0,0.0,0.0,81.0
06073,29.0,0.0,0.0,16.0,59.0,218.0,56.0,0.0,0.0,4174.0,0.0,154.0,0.0,11.0,23.0,0.0,0.0,36.0,281.0,11.0,61.0,11.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0
