county,team,pop
48113,CHN,11969
48113,COL,3608
48113,CRC,470
48113,DEN,93
48113,ENG,1488
48113,FRA,1424
48113,GER,1698
48113,HTI,394
48113,ITA,791
48113,JAM,1479
48113,JPN,2017
48113,KOR,6540
48113,MAR,548
48113,NED,177
48113,NZL,191
48113,NGA,14277
48113,NOW,42
48113,PAN,721
48113,PHL,9029
48113,POR,237
48113,IRL,510
48113,ZAF,1242
48113,ESP,954
48113,SWE,145
48113,SUI,188
48113,VNM,21945
48113,ZMB,10801
36113,ARG,46
36113,AUS,0
36113,BRA,0
36113,CAN,440
36113,CHN,69
36113,COL,6
36113,CRC,0
36113,DEN,0
36113,ENG,44
36113,FRA,0
36113,GER,184
36113,HTI,0
36113,ITA,35
36113,JAM,73
36113,JPN,12
36113,KOR,14
36113,MAR,0
36113,NED,2
36113,NZL,0
36113,NGA,1
36113,NOW,0
36113,PAN,0
36113,PHL,135
36113,POR,0
36113,IRL,12
36113,ZAF,96
36113,ESP,90
36113,SWE,0
36113,SUI,11
36113,VNM,0
36113,ZMB,299
48179,ARG,0
48179,AUS,0
48179,BRA,0
48179,CAN,30
48179,CHN,0
48179,COL,6
48179,CRC,0
48179,DEN,0
48179,ENG,0
48179,FRA,0
48179,GER,11
48179,HTI,0
48179,ITA,0
48179,JAM,0
48179,JPN,0
48179,KOR,0
48179,MAR,0
48179,NED,0
48179,NZL,0
48179,NGA,0
48179,NOW,0
48179,PAN,0
48179,PHL,97
48179,POR,0
48179,IRL,0
48179,ZAF,0
48179,ESP,0
48179,SWE,0
48179,SUI,0
48179,VNM,14
48179,ZMB,105
54073,ARG,0
54073,AUS,0
54073,BRA,0
54073,CAN,0
54073,CHN,0
54073,COL,0
54073,CRC,0
54073,DEN,0
54073,ENG,0
54073,FRA,0
54073,GER,31
54073,HTI,0
54073,ITA,0
54073,JAM,0
54073,JPN,0
54073,KOR,0
54073,MAR,0
54073,NED,0
54073,NZL,0
54073,NGA,0
54073,NOW,0
54073,PAN,0
54073,PHL,0
54073,POR,0
54073,IRL,0
54073,ZAF,0
54073,ESP,0
54073,SWE,0
54073,SUI,0
54073,VNM,0
54073,ZMB,26
42091,ARG,565
42091,AUS,104
42091,BRA,695
42091,CAN,1500
42091,CHN,8294
42091,COL,803
42091,CRC,187
42091,DEN,128
42091,ENG,1177
42091,FRA,538
42091,GER,1910
42091,HTI,1415
42091,ITA,2315
42091,JAM,2612
42091,JPN,314
42091,KOR,8614
42091,MAR,504
42091,NED,285
42091,NZL,67
42091,NGA,784
42091,NOW,72
42091,PAN,83
42091,PHL,2475
42091,POR,550
42091,IRL,580
42091,ZAF,448
42091,ESP,509
42091,SWE,37
42091,SUI,97
42091,VNM,3323
42091,ZMB,2669
28081,ARG,20
28081,AUS,9
28081,BRA,9
28081,CAN,0
28081,CHN,58
28081,COL,5
28081,CRC,0
28081,DEN,0
28081,ENG,147
28081,FRA,0
28081,GER,18
28081,HTI,0
28081,ITA,0
28081,JAM,0
28081,JPN,8
28081,KOR,6
28081,MAR,0
28081,NED,0
28081,NZL,0
28081,NGA,0
28081,NOW,0
28081,PAN,0
28081,PHL,7
28081,POR,0
28081,IRL,0
28081,ZAF,0
28081,ESP,0
28081,SWE,0
28081,SUI,0
28081,VNM,195
28081,ZMB,328
40147,ARG,15
40147,AUS,3
40147,BRA,0
40147,CAN,14
40147,CHN,179
40147,COL,23
40147,CRC,65
40147,DEN,0
40147,ENG,9
40147,FRA,9
40147,GER,52
40147,HTI,0
40147,ITA,0
40147,JAM,0
40147,JPN,4
40147,KOR,18
40147,MAR,0
40147,NED,0
40147,NZL,0
40147,NGA,11
40147,NOW,0
40147,PAN,11
40147,PHL,116
40147,POR,0
40147,IRL,0
40147,ZAF,0
40147,ESP,44
40147,SWE,0
40147,SUI,0
40147,VNM,73
40147,ZMB,152
27025,ARG,0
27025,AUS,8
27025,BRA,30
27025,CAN,178
27025,CHN,37
27025,COL,21
27025,CRC,0
27025,DEN,0
27025,ENG,7
27025,FRA,0
27025,GER,17
27025,HTI,0
27025,ITA,3
27025,JAM,0
27025,JPN,3
27025,KOR,51
27025,MAR,0
27025,NED,4
27025,NZL,0
27025,NGA,0
27025,NOW,0
27025,PAN,7
27025,PHL,116
27025,POR,0
27025,IRL,9
27025,ZAF,0
27025,ESP,0
27025,SWE,0
27025,SUI,0
27025,VNM,13
27025,ZMB,129
31113,ARG,0
31113,AUS,0
31113,BRA,0
